Date,Symbol,Tick,Price
2025-04-01,AAPL,1,223.28
2025-04-01,AAPL,2,223.51
2025-04-01,AAPL,3,223.15
2025-04-01,AAPL,4,223
2025-04-01,AAPL,5,223.4
2025-04-01,AAPL,6,223.82
2025-04-01,AAPL,7,223.83
2025-04-01,AAPL,8,223.67
2025-04-01,AAPL,9,223.2
2025-04-01,AAPL,10,223.15
2025-04-01,AAPL,11,222.01
2025-04-01,AAPL,12,221.97
2025-04-01,AAPL,13,221.16
2025-04-01,AAPL,14,220.97
2025-04-01,AAPL,15,220.96
2025-04-01,AAPL,16,221.13
2025-04-01,AAPL,17,220.98
2025-04-01,AAPL,18,221.07
2025-04-01,AAPL,19,220.72
2025-04-01,AAPL,20,220.67
2025-04-01,AAPL,21,220.41
2025-04-01,AAPL,22,220.66
2025-04-01,AAPL,23,220.7
2025-04-01,AAPL,24,221.21
2025-04-01,AAPL,25,221.12
2025-04-01,AAPL,26,220.8
2025-04-01,AAPL,27,220.96
2025-04-01,AAPL,28,220.54
2025-04-01,AAPL,29,220.49
2025-04-01,AAPL,30,220.61
2025-04-01,AAPL,31,220.67
2025-04-01,AAPL,32,221.21
2025-04-01,AAPL,33,220.98
2025-04-01,AAPL,34,220.73
2025-04-01,AAPL,35,220.76
2025-04-01,AAPL,36,220.98
2025-04-01,AAPL,37,220.89
2025-04-01,AAPL,38,220.72
2025-04-01,AAPL,39,221.15
2025-04-01,AAPL,40,221.22
2025-04-01,AAPL,41,221.13
2025-04-01,AAPL,42,221.23
2025-04-01,AAPL,43,221.51
2025-04-01,AAPL,44,221.14
2025-04-01,AAPL,45,221.12
2025-04-01,AAPL,46,221.14
2025-04-01,AAPL,47,221.26
2025-04-01,AAPL,48,221.44
2025-04-01,AAPL,49,221.6
2025-04-01,AAPL,50,221.74
2025-04-01,AAPL,51,221.78
2025-04-01,AAPL,52,221.96
2025-04-01,AAPL,53,221.61
2025-04-01,AAPL,54,221.55
2025-04-01,AAPL,55,221.42
2025-04-01,AAPL,56,221.23
2025-04-01,AAPL,57,220.98
2025-04-01,AAPL,58,220.9
2025-04-01,AAPL,59,221.27
2025-04-01,AAPL,60,220.91
2025-04-01,AAPL,61,221.17
2025-04-01,AAPL,62,220.99
2025-04-01,AAPL,63,221.56
2025-04-01,AAPL,64,221.3
2025-04-01,AAPL,65,221.1
2025-04-01,AAPL,66,221.15
2025-04-01,AAPL,67,221.01
2025-04-01,AAPL,68,220.86
2025-04-01,AAPL,69,221.07
2025-04-01,AAPL,70,221.09
2025-04-01,AAPL,71,220.86
2025-04-01,AAPL,72,220.64
2025-04-01,AAPL,73,221.09
2025-04-01,AAPL,74,221.08
2025-04-01,AAPL,75,220.94
2025-04-01,AAPL,76,220.54
2025-04-01,AAPL,77,221.1
2025-04-01,AAPL,78,221.66
2025-04-02,AAPL,1,203.08
2025-04-02,AAPL,2,203.04
2025-04-02,AAPL,3,203.08
2025-04-02,AAPL,4,203.24
2025-04-02,AAPL,5,202.9
2025-04-02,AAPL,6,203.05
2025-04-02,AAPL,7,203.2
2025-04-02,AAPL,8,202.68
2025-04-02,AAPL,9,203.04
2025-04-02,AAPL,10,203.2
2025-04-02,AAPL,11,202.8
2025-04-02,AAPL,12,202.94
2025-04-02,AAPL,13,203.06
2025-04-02,AAPL,14,202.73
2025-04-02,AAPL,15,202.41
2025-04-02,AAPL,16,202.18
2025-04-02,AAPL,17,202.08
2025-04-02,AAPL,18,202.25
2025-04-02,AAPL,19,202.29
2025-04-02,AAPL,20,202.16
2025-04-02,AAPL,21,201.77
2025-04-02,AAPL,22,201.55
2025-04-02,AAPL,23,201.7
2025-04-02,AAPL,24,201.55
2025-04-02,AAPL,25,201.62
2025-04-02,AAPL,26,201.54
2025-04-02,AAPL,27,202.04
2025-04-02,AAPL,28,201.89
2025-04-02,AAPL,29,201.98
2025-04-02,AAPL,30,202.13
2025-04-02,AAPL,31,202.35
2025-04-02,AAPL,32,202.33
2025-04-02,AAPL,33,202.36
2025-04-02,AAPL,34,202.57
2025-04-02,AAPL,35,202.91
2025-04-02,AAPL,36,203.06
2025-04-02,AAPL,37,203.38
2025-04-02,AAPL,38,203.18
2025-04-02,AAPL,39,203.38
2025-04-02,AAPL,40,203.24
2025-04-02,AAPL,41,202.98
2025-04-02,AAPL,42,202.87
2025-04-02,AAPL,43,202.36
2025-04-02,AAPL,44,202.14
2025-04-02,AAPL,45,202.35
2025-04-02,AAPL,46,201.93
2025-04-02,AAPL,47,201.83
2025-04-02,AAPL,48,201.9
2025-04-02,AAPL,49,201.61
2025-04-02,AAPL,50,201.39
2025-04-02,AAPL,51,201.08
2025-04-02,AAPL,52,201.45
2025-04-02,AAPL,53,201.5
2025-04-02,AAPL,54,201.55
2025-04-02,AAPL,55,202.12
2025-04-02,AAPL,56,201.91
2025-04-02,AAPL,57,202.45
2025-04-02,AAPL,58,202.47
2025-04-02,AAPL,59,202.98
2025-04-02,AAPL,60,203.22
2025-04-02,AAPL,61,203.2
2025-04-02,AAPL,62,202.74
2025-04-02,AAPL,63,202.48
2025-04-02,AAPL,64,202.2
2025-04-02,AAPL,65,202.29
2025-04-02,AAPL,66,202.44
2025-04-02,AAPL,67,202.12
2025-04-02,AAPL,68,201.91
2025-04-02,AAPL,69,201.62
2025-04-02,AAPL,70,201.33
2025-04-02,AAPL,71,200.99
2025-04-02,AAPL,72,200.96
2025-04-02,AAPL,73,200.51
2025-04-02,AAPL,74,200.39
2025-04-02,AAPL,75,200.9
2025-04-02,AAPL,76,200.81
2025-04-02,AAPL,77,200.46
2025-04-02,AAPL,78,200.5
2025-04-03,AAPL,1,188.73
2025-04-03,AAPL,2,189.08
2025-04-03,AAPL,3,188.81
2025-04-03,AAPL,4,188.72
2025-04-03,AAPL,5,188.93
2025-04-03,AAPL,6,188.57
2025-04-03,AAPL,7,188.78
2025-04-03,AAPL,8,188.73
2025-04-03,AAPL,9,188.35
2025-04-03,AAPL,10,188.34
2025-04-03,AAPL,11,188.2
2025-04-03,AAPL,12,188.46
2025-04-03,AAPL,13,188.83
2025-04-03,AAPL,14,188.92
2025-04-03,AAPL,15,188.86
2025-04-03,AAPL,16,188.92
2025-04-03,AAPL,17,188.8
2025-04-03,AAPL,18,189.17
2025-04-03,AAPL,19,189.35
2025-04-03,AAPL,20,189.36
2025-04-03,AAPL,21,189.62
2025-04-03,AAPL,22,189.87
2025-04-03,AAPL,23,190.09
2025-04-03,AAPL,24,189.99
2025-04-03,AAPL,25,189.96
2025-04-03,AAPL,26,189.84
2025-04-03,AAPL,27,189.65
2025-04-03,AAPL,28,189.6
2025-04-03,AAPL,29,189.72
2025-04-03,AAPL,30,189.88
2025-04-03,AAPL,31,189.59
2025-04-03,AAPL,32,189.41
2025-04-03,AAPL,33,189.45
2025-04-03,AAPL,34,188.96
2025-04-03,AAPL,35,189.02
2025-04-03,AAPL,36,189.29
2025-04-03,AAPL,37,189.23
2025-04-03,AAPL,38,189.51
2025-04-03,AAPL,39,189.56
2025-04-03,AAPL,40,189.86
2025-04-03,AAPL,41,189.96
2025-04-03,AAPL,42,189.55
2025-04-03,AAPL,43,190.05
2025-04-03,AAPL,44,189.76
2025-04-03,AAPL,45,190.44
2025-04-03,AAPL,46,190.34
2025-04-03,AAPL,47,190.26
2025-04-03,AAPL,48,190.47
2025-04-03,AAPL,49,190.64
2025-04-03,AAPL,50,190.32
2025-04-03,AAPL,51,190.28
2025-04-03,AAPL,52,189.94
2025-04-03,AAPL,53,190.16
2025-04-03,AAPL,54,190.12
2025-04-03,AAPL,55,189.95
2025-04-03,AAPL,56,190.06
2025-04-03,AAPL,57,189.86
2025-04-03,AAPL,58,190.33
2025-04-03,AAPL,59,190.47
2025-04-03,AAPL,60,190.44
2025-04-03,AAPL,61,190.88
2025-04-03,AAPL,62,191.27
2025-04-03,AAPL,63,191.69
2025-04-03,AAPL,64,191.59
2025-04-03,AAPL,65,191.49
2025-04-03,AAPL,66,191.82
2025-04-03,AAPL,67,191.27
2025-04-03,AAPL,68,190.48
2025-04-03,AAPL,69,190.18
2025-04-03,AAPL,70,190.18
2025-04-03,AAPL,71,190.13
2025-04-03,AAPL,72,190.24
2025-04-03,AAPL,73,190.24
2025-04-03,AAPL,74,190.43
2025-04-03,AAPL,75,190.73
2025-04-03,AAPL,76,191.17
2025-04-03,AAPL,77,191.06
2025-04-03,AAPL,78,190.62
2025-04-04,AAPL,1,187.9
2025-04-04,AAPL,2,187.57
2025-04-04,AAPL,3,187.81
2025-04-04,AAPL,4,187.4
2025-04-04,AAPL,5,187.27
2025-04-04,AAPL,6,187.03
2025-04-04,AAPL,7,186.75
2025-04-04,AAPL,8,186.85
2025-04-04,AAPL,9,187.23
2025-04-04,AAPL,10,187.25
2025-04-04,AAPL,11,187.45
2025-04-04,AAPL,12,187.68
2025-04-04,AAPL,13,187.54
2025-04-04,AAPL,14,187.22
2025-04-04,AAPL,15,187.15
2025-04-04,AAPL,16,186.8
2025-04-04,AAPL,17,186.67
2025-04-04,AAPL,18,186.53
2025-04-04,AAPL,19,186.76
2025-04-04,AAPL,20,186.15
2025-04-04,AAPL,21,186.58
2025-04-04,AAPL,22,186.65
2025-04-04,AAPL,23,186.68
2025-04-04,AAPL,24,186.7
2025-04-04,AAPL,25,186.77
2025-04-04,AAPL,26,186.69
2025-04-04,AAPL,27,186.88
2025-04-04,AAPL,28,186.96
2025-04-04,AAPL,29,186.98
2025-04-04,AAPL,30,186.71
